model_id,channel_key,channel_label,ensemble_member_index,config_file,weight_file,weight_bytes
posemil_cav1d2_member00,cav1d2,CaV1.2,0,cav1d2.yaml,posemil_cav1d2_member00.safetensors,20748848
posemil_cav1d2_member01,cav1d2,CaV1.2,1,cav1d2.yaml,posemil_cav1d2_member01.safetensors,20748848
posemil_cav1d2_member02,cav1d2,CaV1.2,2,cav1d2.yaml,posemil_cav1d2_member02.safetensors,20748848
posemil_cav1d2_member03,cav1d2,CaV1.2,3,cav1d2.yaml,posemil_cav1d2_member03.safetensors,20748848
posemil_cav1d2_member04,cav1d2,CaV1.2,4,cav1d2.yaml,posemil_cav1d2_member04.safetensors,20748848
posemil_cav1d2_member05,cav1d2,CaV1.2,5,cav1d2.yaml,posemil_cav1d2_member05.safetensors,20748848
posemil_cav1d2_member06,cav1d2,CaV1.2,6,cav1d2.yaml,posemil_cav1d2_member06.safetensors,20748848
posemil_cav1d2_member07,cav1d2,CaV1.2,7,cav1d2.yaml,posemil_cav1d2_member07.safetensors,20748848
posemil_cav1d2_member08,cav1d2,CaV1.2,8,cav1d2.yaml,posemil_cav1d2_member08.safetensors,20748848
posemil_cav1d2_member09,cav1d2,CaV1.2,9,cav1d2.yaml,posemil_cav1d2_member09.safetensors,20748848
posemil_herg_member00,herg,hERG,0,herg.yaml,posemil_herg_member00.safetensors,20748848
posemil_herg_member01,herg,hERG,1,herg.yaml,posemil_herg_member01.safetensors,20748848
posemil_herg_member02,herg,hERG,2,herg.yaml,posemil_herg_member02.safetensors,20748848
posemil_herg_member03,herg,hERG,3,herg.yaml,posemil_herg_member03.safetensors,20748848
posemil_herg_member04,herg,hERG,4,herg.yaml,posemil_herg_member04.safetensors,20748848
posemil_herg_member05,herg,hERG,5,herg.yaml,posemil_herg_member05.safetensors,20748848
posemil_herg_member06,herg,hERG,6,herg.yaml,posemil_herg_member06.safetensors,20748848
posemil_herg_member07,herg,hERG,7,herg.yaml,posemil_herg_member07.safetensors,20748848
posemil_herg_member08,herg,hERG,8,herg.yaml,posemil_herg_member08.safetensors,20748848
posemil_herg_member09,herg,hERG,9,herg.yaml,posemil_herg_member09.safetensors,20748848
posemil_nav1d5_member00,nav1d5,NaV1.5,0,nav1d5.yaml,posemil_nav1d5_member00.safetensors,20748848
posemil_nav1d5_member01,nav1d5,NaV1.5,1,nav1d5.yaml,posemil_nav1d5_member01.safetensors,20748848
posemil_nav1d5_member02,nav1d5,NaV1.5,2,nav1d5.yaml,posemil_nav1d5_member02.safetensors,20748848
posemil_nav1d5_member03,nav1d5,NaV1.5,3,nav1d5.yaml,posemil_nav1d5_member03.safetensors,20748848
posemil_nav1d5_member04,nav1d5,NaV1.5,4,nav1d5.yaml,posemil_nav1d5_member04.safetensors,20748848
posemil_nav1d5_member05,nav1d5,NaV1.5,5,nav1d5.yaml,posemil_nav1d5_member05.safetensors,20748848
posemil_nav1d5_member06,nav1d5,NaV1.5,6,nav1d5.yaml,posemil_nav1d5_member06.safetensors,20748848
posemil_nav1d5_member07,nav1d5,NaV1.5,7,nav1d5.yaml,posemil_nav1d5_member07.safetensors,20748848
posemil_nav1d5_member08,nav1d5,NaV1.5,8,nav1d5.yaml,posemil_nav1d5_member08.safetensors,20748848
posemil_nav1d5_member09,nav1d5,NaV1.5,9,nav1d5.yaml,posemil_nav1d5_member09.safetensors,20748848
